Voltage (V);Current (A);Temp (C);SOC (estimated);SOC (messured)
3,589989749;-1,998212536;23,76123477;0,446689953;0,4477129
3,597179119;-0,67924708;24,18174963;0,437734201;0,440371618
3,609048679;-0,581180349;23,9714972;0,438443231;0,435644742
3,619645603;0,089922402;23,65610356;0,43480377;0,430793333
3,584403591;-1,893527714;24,07661842;0,435168764;0,428817478
3,584551895;-1,837395954;23,9714972;0,432606787;0,425303623
3,658016401;1,690813295;23,86636598;0,427567929;0,421528852
3,614541695;-0,315400223;23,86636598;0,425773133;0,418708516
3,614504352;-0,113970582;24,07661842;0,42245373;0,414026667
3,48474581;-2,917628789;24,18174963;0,40528546;0,393633123
3,589147185;-0,114010965;24,18174963;0,40748689;0,387983333
3,586268424;-0,117737985;24,18174963;0,40153645;0,382354765
3,572356086;0,080328856;24,18174963;0,389552732;0,374373333
3,582888137;-0,116803231;24,18174963;0,38868685;0,373156667
3,518414895;-2,33996537;24,07661842;0,381200556;0,367703377
3,594342997;1,150768921;23,9714972;0,376674099;0,362120291
3,5442943;-0,579246834;24,07661842;0,372956604;0,355605152
3,562766904;-0,115189759;23,9714972;0,370452366;0,353213333
3,547635116;0,078795195;24,07661842;0,362371758;0,347156667
3,571343003;0,658627735;24,07661842;0,359526549;0,345799404
3,519535519;-1,686275539;23,9714972;0,359915237;0,342619126
3,523708039;-0,566945261;24,07661842;0,34927689;0,337227442
3,446125528;-4,120412098;23,86636598;0,35243112;0,333293398
3,455069155;-1,327535761;24,39201206;0,330227124;0,30956387
3,455752608;-1,454919396;24,18174963;0,322302178;0,303073631
3,440351389;-1,80226527;24,28688085;0,310494944;0,29677985
3,470101185;-1,340296878;24,28688085;0,307232766;0,295629597
3,524047802;2,314638671;23,9714972;0,290893171;0,2901081
3,429488788;-2,950805692;24,18174963;0,295241629;0,287700244
3,45267905;-1,123347911;24,07661842;0,284616829;0,279388657
3,42172954;-2,144277172;23,86636598;0,280078352;0,274273354
3,423623459;-1,511297832;24,07661842;0,274170717;0,269250707
3,455534048;-1,04932944;24,157752;0,275591629;0,267824384
3,407090758;-3,01783097;23,9714972;0,275251329;0,264279744
3,468881736;-0,117737985;23,9714972;0,266484411;0,260816667
3,405930058;-1,866895172;23,9714972;0,260540537;0,253397963
3,263886831;-6,514736136;23,9714972;0,251093272;0,245845454
3,360649676;-0,4827139;24,39201206;0,228316658;0,222375384
3,425820144;-0,121779734;24,39201206;0,235154027;0,222683333
3,465406691;2,713069011;24,39201206;0,214588257;0,215335267
3,355574972;-1,12324479;24,18174963;0,20246631;0,211071878
3,332400774;-2,315334942;24,07661842;0,191590351;0,208656464
3,312862289;-1,538205259;24,18174963;0,173402948;0,201389447
3,337773846;0,253813964;24,07661842;0,158333184;0,194391909
3,28186731;-1,947743992;24,07661842;0,153314934;0,189576598
3,332548274;-0,089657533;24,07661842;0,140343249;0,187657882
3,291742072;-1,309665509;23,9714972;0,133582533;0,183764443
3,228969756;-1,814016928;24,07661842;0,11959746;0,177235032
3,220643739;-2,139170727;24,07661842;0,113671477;0,175382079
3,283456901;-0,123454191;24,07661842;0,108409666;0,170534131
3,061968168;-2,225516048;24,28688085;0,132844753;0,150384853
3,153210532;-0,005436166;24,60227449;0,145251551;0,136626667
3,177394128;-0,005436166;24,39201206;0,152448497;0,136626667
3,184666259;-0,005436166;24,18174963;0,16045924;0,136626667
3,18888911;-0,005436166;23,9714972;0,164701172;0,136626667
3,191928359;-0,005436166;23,76123477;0,163117566;0,136626667
3,194466082;-0,005436166;23,86636598;0,154409441;0,136626667
3,529903114;2,991007804;23,88756491;0,153128265;0,157343095
3,569664385;2,991007804;24,32685421;0,164020039;0,185541508
3,605563099;2,991007804;24,44310474;0,189783739;0,213736587
3,637323439;2,991007804;24,53469014;0,221486726;0,241931667
3,664742633;2,991007804;24,61582031;0,259124897;0,270130079
3,68620295;2,991007804;24,66154064;0,291293144;0,298326613
3,706011953;2,991007804;24,68045881;0,318129982;0,326523571
3,727091057;2,991007804;24,60227449;0,345234835;0,354721984
3,748512377;2,991007804;24,81252692;0,373317483;0,382917063
3,769234195;2,991007804;24,74228953;0,398985563;0,411114363
3,790834922;2,991007804;24,81812915;0,425968672;0,439310556
3,814870229;2,991007804;25,02278935;0,455952734;0,467506571
3,842140182;2,991007804;24,76923721;0,486880681;0,495704048
3,87201791;2,991007804;24,72935382;0,518501089;0,523902112
3,90305283;2,991007804;25,00144468;0,5462901;0,55209754
3,933996502;2,991007804;24,91765813;0,572731906;0,580292619
3,964211306;2,991007804;24,83167497;0,599705163;0,608490425
3,993105494;2,991007804;25,10157816;0,629027827;0,636686111
4,020835468;2,992453409;24,96314858;0,654901988;0,664884524
4,049032477;2,991007804;24,83984844;0,680648903;0,69308207
4,07858523;2,991007804;25,11792509;0,709312486;0,721278016
4,111455921;2,991007804;25,06010633;0,736732295;0,749476429
4,147097735;2,991007804;24,91765813;0,764927668;0,777671508
